run_id,config_id,agent,seed,self_reaff,exaf_reaff,ratio_reaff,self_foil,exaf_foil,ratio_foil
0,0,crawler,0,0.0133585832807173,0.0312436576905873,2.3388451480245345,0.0146999385775609,0.029085012215069,1.9785805268238728
1,0,crawler,1,0.0080742413712273,0.0169536350657488,2.099718634392492,0.0208439363165129,0.023842054690545,1.143836477357539
2,0,crawler,2,0.010767190653336,0.0254006894809399,2.359082354789533,0.0160774077325771,0.0297785952986501,1.8522012872952616
3,0,crawler,3,0.0108015764550012,0.0195000371431819,1.805295479268045,0.0150641119644644,0.0218426243360424,1.449977561741992
4,0,crawler,4,0.0095172390299753,0.0159384347781921,1.6746910241502528,0.0179759772888835,0.0234532885407295,1.3047017229618507
5,0,crawler,5,0.0136221737159314,0.0314426901482745,2.308199176134532,0.0127847870162628,0.0273266932534808,2.137438286513499
6,0,crawler,6,0.0094152879923077,0.0203542416881742,2.161828900486494,0.0162127390333062,0.0237952221709279,1.4676867444819006
7,0,crawler,7,0.0079160017881493,0.0181752894240986,2.2960188628693827,0.019699778686267,0.0225167029932543,1.1429926879813632
8,0,crawler,8,0.0125033344508873,0.0276424546335411,2.2108066245944005,0.0139953695340274,0.0256279264002033,1.8311718270741708
9,0,crawler,9,0.007838362558048,0.021542571905728,2.748351042222344,0.0161625729279498,0.0242772940760178,1.5020686486144357
