run_id,config_id,n_seg,seed,skill,skill_shuffle,state_dim,coverage,net_disp
0,0,3,0,0.3667521027504636,0.0166319973346661,6,0.5344089672178175,1.5418370368029353
1,0,3,1,0.6356715319260529,-0.0672495291212651,6,0.7467658499277504,1.4791757966062509
2,0,3,2,0.4813958339148165,0.1078605632831369,6,0.3540919266244833,1.392145212474352
3,0,3,3,0.4908030728369309,-0.0753253287427442,6,0.4504979201241594,1.3342374814439222
4,0,3,4,0.1172627451856501,-0.0135433960867985,6,0.5250389634256807,1.5273500002089333
5,0,3,5,-0.026587265625481,0.0517994145434685,6,0.7281656853329841,1.4738529880723197
6,0,3,6,0.4008935059138129,0.1976832538036927,6,0.174915464825748,1.3400389984426888
7,0,3,7,0.6438631997928239,0.2151852078997413,6,0.5713668019670468,1.4433577814811391
8,1,5,0,0.5864938928216261,0.0209101505677189,10,5.762392478067685,4.041861792060719
9,1,5,1,0.0334830994958873,-0.0353362748645276,10,6.637407650377958,3.6216848667036
10,1,5,2,0.5873994023116198,0.0992352037037221,10,4.313447154024713,3.8955861705012897
11,1,5,3,0.5809848236277784,-0.0942298601682152,10,5.760467257926575,3.7538510942912815
12,1,5,4,0.5929305478423927,-0.0103181549040505,10,5.695196342132935,4.0633493743906
13,1,5,5,0.5815797302752297,-0.1254404198318395,10,7.577653004207674,3.882919676928188
14,1,5,6,0.6283703196581756,0.2643643037948031,10,1.7529827725040852,3.788697026834894
15,1,5,7,-0.1709199141321884,-0.0122827873246498,10,6.737801067693774,3.8125117311721146
16,2,7,0,0.5804461759084006,0.0191350683715939,14,12.61785276697456,5.370839895878435
17,2,7,1,-0.2880699318093918,0.0183233636293428,14,10.637838768531452,4.422840128608149
18,2,7,2,0.5879489118014575,0.0968578267301217,14,10.667798406734567,5.262648171411294
19,2,7,3,0.5740423300125703,-0.0945653496564031,14,11.93357701269796,4.973967327376061
20,2,7,4,0.591513940485499,-0.0101475869627798,14,13.013990767989354,5.444754725361673
21,2,7,5,0.5747220040076504,-0.1239190744710874,14,12.159892119336051,5.10815253447644
22,2,7,6,0.6201301843292772,0.2189873837794975,14,4.478456257925382,5.203130440548353
23,2,7,7,-0.3503908433785296,0.0875565448548053,14,13.077434804715963,5.062352941331302
24,3,9,0,0.5723995288440483,0.0195464933347904,18,18.9056799149292,6.163941016220827
25,3,9,1,-0.1890763709147414,0.0668221959982651,18,11.457112755631035,4.468218928087645
26,3,9,2,0.5851024905409753,0.0904212093087596,18,17.018875530020626,6.133569724458929
27,3,9,3,0.5602891065672211,-0.0927902958944311,18,16.25664449797716,5.5977646108390005
28,3,9,4,0.5882614161141826,-0.0092278834766439,18,19.47518481655898,6.292924202360368
29,3,9,5,0.5649167348405986,-0.1240833931414975,18,11.273642978587173,5.748746163759972
30,3,9,6,0.6142536786942454,0.2152221914257241,18,7.236963870298852,6.111524911083649
31,3,9,7,0.6144299157652848,0.2091683663070882,18,17.57374569912244,5.753749205971096
